City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ilulissat,69.2167,-51.1,-23.99,49,72,3.09,GL,1706658633
83,kayangel,8.0823,134.7173,27.3,82,38,10.09,PW,1706658633
84,berkane,34.9084,-2.3461,9.82,94,31,1.34,MA,1706658633
85,sisimiut,66.9395,-53.6735,-20.84,76,100,7.99,GL,1706658633
86,port elizabeth,-33.918,25.5701,21.84,89,0,1.54,ZA,1706658633
87,nikolayevsk-on-amure,53.1406,140.73,-18.26,90,92,2.77,RU,1706658633
88,mumford,5.2618,-0.759,26.36,86,7,3.45,GH,1706658634
89,punta del este,-34.9667,-54.95,23.06,82,0,3.6,UY,1706658634
90,puerto ayacucho,5.6639,-67.6236,28.29,65,77,2.42,VE,1706658634
91,tura,25.5198,90.2201,12.74,52,0,1.23,IN,1706658634
92,kodiak,57.79,-152.4072,-10.27,41,0,3.09,US,1706658634
93,jamestown,42.097,-79.2353,2.77,89,75,4.63,US,1706658413
94,visakhapatnam,17.69,83.2093,20.39,76,10,0.88,IN,1706658635
95,kanniyakumari,8.0833,77.5667,25.81,80,31,4.57,IN,1706658342
96,fale old settlement,-9.3852,-171.2468,29.6,68,24,2.35,TK,1706658635
97,suva,-18.1416,178.4415,27.71,83,75,1.54,FJ,1706658636
98,camocim,-2.9022,-40.8411,27.07,85,2,4.53,BR,1706658636
99,guayaramerin,-10.8368,-65.3614,26.58,83,90,1.44,BO,1706658636
100,pingshan,22.9938,114.7131,19.33,88,100,0.45,CN,1706658636
101,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,94,40,4.0,RU,1706658636
102,tindouf,27.6711,-8.1474,15.25,29,0,3.09,DZ,1706658489
103,saint-joseph,-21.3667,55.6167,24.21,84,31,4.12,RE,1706658637
104,fuglafjordur,62.244,-6.814,7.26,90,100,9.41,FO,1706658637
105,yaring,6.8662,101.3689,24.99,81,86,4.01,TH,1706658637
106,ubari,26.5921,12.7805,7.4,53,0,3.73,LY,1706658637
107,hithadhoo,-0.6,73.0833,27.38,76,57,1.87,MV,1706658638
108,albany,42.6001,-73.9662,-0.46,83,100,2.29,US,1706658638
109,salinas,36.6777,-121.6555,18.63,78,20,5.66,US,1706658494
110,gisborne,-38.6533,178.0042,19.83,89,64,6.42,NZ,1706658638
111,chifeng,42.2683,118.9636,-15.36,88,58,1.14,CN,1706658638
112,kertosono,-7.5833,112.1,24.89,89,88,0.93,ID,1706658639
113,alice springs,-23.7,133.8833,32.9,11,92,9.26,AU,1706658639
